Premium,Price,Address,Beds,Baths,Sq_ft,Year_built,Price_index,Sq_ft_index,Year_built_index,Zipcode,Neighborhood,Fire_index,High_risk_index,Medium_risk_index,Low_risk_index
"$1,654.83","$1,749,000.00","318 Main Street #7K, San Francisco,  CA 94105",2.0,2,1520.0,2015.0,-0.1111710824905792,-0.1006047431991662,0.9776974984700314,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,627.83","$1,750,000.00","1 Hawthorne Street #21C, San Francisco,  CA 94105",2.0,2,1313.0,2010.0,-0.110789608053919,-0.263426629252975,0.8644069424480118,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,153.91","$1,750,000.00","1900 Broadway #5, San Francisco,  CA 94109",2.0,1,1315.0,1920.0,-0.110789608053919,-0.2618534709336145,-1.1748230659483414,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,622.83","$1,750,000.00","765 Market Street #33H, San Francisco,  CA 94103",2.0,2F11/2,1510.0,2001.0,-0.110789608053919,-0.1084705347959685,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,397.82","$1,750,000.00","351 Louisburg Street, San Francisco,  CA 94112",7.0,5,3092.0,2010.0,-0.110789608053919,1.135897695818164,0.8644069424480118,94112,Excelsior,-0.0455466297963416,-0.34,-0.38,-0.35
"$1,392.91","$1,795,000.00","2525 Van Ness Avenue #404, San Francisco,  CA 94109",2.0,2F11/2,1353.0,2024.0,-0.0936232584042114,-0.2319634628657655,1.1816204993096666,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,311.65","$1,795,000.00","1972 Scott Street, San Francisco,  CA 94115",2.0,2,1386.0,1978.0,-0.0936232584042114,-0.2060063505963177,0.1393473839070862,94115,Western Addition,0.5290416230190447,0.29,1.31,0.34
"$1,659.83","$1,795,000.00","2177 3rd Street #221, San Francisco,  CA 94107",3.0,2,1420.0,2020.0,-0.0936232584042114,-0.1792626591671897,1.090988054492051,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,049.63","$1,795,000.00","3527 Sacramento Street, San Francisco,  CA 94118",2.0,3,1508.0,1908.0,-0.0936232584042114,-0.110043693115329,-1.4467204004011884,94118,Lone Mountain/USF,-0.0814583955973032,-0.31,-0.23,-0.29
"$1,641.83","$1,795,000.00","301 Mission Street #46F, San Francisco,  CA 94105",2.0,2,1509.0,2009.0,-0.0936232584042114,-0.1092571139556488,0.8417488312436079,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,120.30","$1,795,000.00","2932 Baker Street, San Francisco,  CA 94123",2.0,2,1510.0,1927.0,-0.0936232584042114,-0.1084705347959685,-1.016216287517514,94123,Marina,0.1340121992084665,-0.23,0.1,-0.09
"$1,076.58","$1,795,000.00","230 San Fernando Way, San Francisco,  CA 94127",3.0,2,1782.0,1923.0,-0.0936232584042114,0.1054789966370555,-1.1068487323351297,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,129.12","$1,795,000.00","629 Clayton Street, San Francisco,  CA 94117",3.0,2,1889.0,1908.0,-0.0936232584042114,0.1896429667228407,-1.4467204004011884,94117,Hayes Valley,0.7804239836257761,-0.4,0.07,-0.1
"$1,473.83","$1,795,000.00","601 4th Street #322, San Francisco,  CA 94107",2.0,2,2029.0,1916.0,-0.0936232584042114,0.2997640490780737,-1.265455510765957,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,115.58","$1,795,000.00","469 Ulloa Street, San Francisco,  CA 94127",3.0,2,2249.0,1924.0,-0.0936232584042114,0.4728114642077255,-1.0841906211307255,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,341.65","$1,795,000.00","2992 California Street, San Francisco,  CA 94115",4.0,2,3815.0,1907.0,-0.0936232584042114,1.7045944282669745,-1.4693785116055924,94115,Western Addition,0.5290416230190447,0.29,1.31,0.34
"$1,648.83","$1,798,000.00","333 Beale Street #7G, San Francisco,  CA 94105",2.0,2,1414.0,2015.0,-0.0924788350942309,-0.1839821341252711,0.9776974984700314,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,128.94","$1,798,000.00","822 45th Avenue, San Francisco,  CA 94121",4.0,2,2033.0,1924.0,-0.0924788350942309,0.3029103657167946,-1.0841906211307255,94121,Outer Richmond,-0.1532819271992265,-0.26,-0.23,-0.05
"$1,243.29","$1,799,000.00","1650 48th Avenue, San Francisco,  CA 94122",3.0,2,2004.0,1948.0,-0.0920973606575707,0.2800995700860678,-0.5403959522250316,94122,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
"$1,672.83","$1,799,000.00","200 Brannan Street #322, San Francisco,  CA 94107",2.0,2,2042.0,2004.0,-0.0920973606575707,0.3099895781539167,0.7284582752215882,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,178.91","$1,799,000.00","151 Bernard Street, San Francisco,  CA 94109",3.0,3F11/2,2131.0,1902.0,-0.0920973606575707,0.3799951233654577,-1.582669067627612,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,619.83","$1,800,000.00","765 Market Street #22E, San Francisco,  CA 94103",2.0,2F11/2,1456.0,2001.0,-0.0917158862209105,-0.1509458094187012,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,167.58","$1,828,000.00","1 North Gate Drive, San Francisco,  CA 94127",3.0,2,1942.0,1957.0,-0.0810346019944258,0.2313316621858932,-0.3364729513853962,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,285.91","$1,850,000.00","3 Meacham Place, San Francisco,  CA 94109",2.0,2,3520.0,1900.0,-0.0726421643879021,1.472553576161305,-1.62798529003642,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
$972.24,"$1,875,000.00","276 Grand View Avenue, San Francisco,  CA 94114",1.0,1,735.0,1908.0,-0.0631053034713978,-0.7180693835481512,-1.4467204004011884,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,284.32","$1,895,000.00","1150 Sacramento Street #203, San Francisco,  CA 94108",2.0,2,1868.0,1989.0,-0.0554758147381944,0.1731248043695558,0.3885866071555293,94108,Chinatown,-0.0455466297963416,-0.09,-0.09,-0.02
"$1,165.58","$1,895,000.00","119 Skyview Way, San Francisco,  CA 94131",4.0,3,1883.0,1957.0,-0.0554758147381944,0.1849234917647593,-0.3364729513853962,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
